,username,eye_color,hair,skin_tone,skin_type,skin_concerns,foundation_color,review,recommend,unhelpful,helpful,star
10,JDhome89,Brown,Brunette,Light,Oily,Acne,190,"If you’re oily, this foundation is amazing! Full coverage, it covers and evens me out completely. Will 100% repurchase. 110% recommends to my fellow oily gals and guys!!!",1,1,18,100
11,TaylorRenee511,Brown,Black,Dark,Combination,Acne,410,A light-weight full coverage foundation. I normally apply with a beauty blender which I believe applies the foundation the smoothest. Other foundations tend to bring out the oiliness in my skin but this foundation kept it more under control. It also provides a nice coverage on my dark marks without looking cakey. Would definitely recommend!,1,9,153,80
12,outerspaceglow,Green,Brunette,Porcelain,Combination,Acne,120,"I've had this foundation for a little while now, and I've tried it with enough primer/powder combos to see what really works. The shade range is definitely a huge plus; 120 is the PERFECT neutral shade for my skin, and it doesn't turn orange on me. It just darkens the slightest bit when it dries down, but it's not noticeable on my skin. The trickiest part of this foundation is applying it, because it dries down so quickly that it can easily look patchy. I've found that if I apply it on my face with a foundation brush in broad strokes (almost like you apply a stick foundation) and then blend it out with a beauty sponge, it has the nicest, skin-like finish with a medium-to-full coverage. This is definitely one of those foundations that needs prepping with a primer, powder and setting spray, or else it won't hold up as well. However, I can say the same for most of my foundations. It took me a while to work with it, and I wanted to work with it because I love the shade and I really want to support the Fenty brand. It's a great special-occasion foundation because it gives the skin a smooth, even finish while still being lightweight. And, considering that it's not as expensive as other high-end foundations, I say it's worth a shot.",1,4,67,80
13,Carrlien,Green,Brunette,Olive,Combination,Dark circles,240,"Very great on the skin and makes me look so flawless. I’ve always been complimented on my brows or how pretty my eyeshadow is but never my foundation until I used this one. It gives a very professional look. Only con is that this is a matte foundation, so if you have dry skin already this is not for you. I had a problem with my nose but that is all, just find out which primer benefits you most to help.",1,7,110,100
14,comfortrose,Brown,Black,Ebony,Oily,Acne,490,"There aren’t many mainstream brands that cater to my skin tone. I know people like to talk about MUFE and CoverFX and Lancôme having extensive shade ranges, which they do, but none of them go deep enough to have a shade for me. I love this foundation mainly because it is a perfect match for me. It does oxidize darker and more neutral than the initial colour when applied. It’s an awesome foundation for oily skin and other products sit perfectly on top of the foundation. I would definitely recommend if you can get your shade match.",1,3,47,100
15,PixiePuddinPie,Hazel,Red,Porcelain,Dry,Acne,110,"I was reluctant to try this, because jumping onto the trend of celebrities’ makeup brands just isn’t my thing. However, when I saw that this was sweat & humidity resistant & that it allegedly comes in every shade “from porcelain to ebony,” I decided to take it out for a test drive, not expecting much. I was extremely pleasantly surprised, & if only it hadn’t been difficult finding a primer that didn’t cause it to be flaky-splotchy on my rather dry skin, I would have whole-heartedly given it 5 stars. Pros: 1) when they said porcelain, they meant porcelain! I wear shade 42 in Kat Von D (which actually adds a tiny bit of colour - I’m slightly paler than it, but the undertones in 41 make me look dead), 00 in the Bobbi Brown stick (it also adds a hint of colour to my pallor); beyond those two, I have to mix the palest of pinks & whites into any foundation to be able to wear it w/o looking weirdly unnatural. However, shade 110 was PERFECT on me. I would never have believed the range would include shades light enough for me! 2) it’s long-wear without feeling heavy. KvD foundation will last through everything, but I can feel it on my skin. Urban Decay’s All Nighter is swim-proof, but the lightest shade (0.5) oxidises WAY too dark on me, & it, too, feels a bit heavy. While the Fenty doesn’t have the same insane degree of coverage as those two w/ 1 layer (I haven’t yet tried building it up to the full coverage as those provide with 1 thin coat), & I haven’t yet tried swimming in it, it DOES stand up to a whole day under hot lights AND it withstood several hours at the barn horseback riding, grooming, & SWEATING in the Miami, FL heat/humidity. 3) The finish is gorgeous (over the right primer). It really is a soft-filtered soft matte that doesn’t look cakey. It looks like naked skin viewed through an Instagram-type filter. 4) It feels weightless. CONS: There’s only 1 con I’ve seen-it clung to dry patches & flaked unless I used a super moisturising primer.",1,26,392,80
16,Meowwkikii,Blue,Blonde,Porcelain,Combination,Sensitivity,110,I have rosacea and very fair skin. This is the first foundation that has ever matched my skin color. NO UNDER CHIN AND NECK BLENDING!,1,1,15,100
17,shelbyls123,Hazel,Blonde,Fair,Oily,Acne,140,"I have been using this foundation daily. It has a perfect amount of coverage for me and has looked nice on my oily/acne prone skin. But, I have a few issues with it-I have had a hard time finding the right color for me since it oxidizes so quickly. It also dries really quickly so you have to apply it quickly on the face before it's completely dry. I wouldn't recommend this product for people with dry skin though!",1,12,180,80
18,Nicoledesaint,Green,Blonde,Tan,Normal,Redness,130,"I was in Sephora the other day and a lady dropped this foundation on accident and it shattered everywhere and got all over my legs. I just rubbed it in and went on with my day. After my full day of adventures including working out, going swimming AND going out dancing later that night, I came home to see that the foundation on my legs was still perfectly there. I didn’t even notice it until I took a closer later that night! Not only did this foundation hold its title for long wear, it color matched my skin perfectly! HOW CRAZY IS THIS!!! Long story short I highly recommend it and am on my way to sephora right now to get my own bottle of it!",1,1,15,100
19,KungFuKeya,Brown,Black,Deep,Dry,Dullness,410,Yeas I love this foundation so much! It photographs beautifully and doesn't budge once it sets. My favorite part about this foundation is that it doesn't make me look ashy or casket ready. My face is significantly darker than my neck and chest and usually when I try to get a foundation that matched my neck I look ghostly. This foundation still looks like my skin even though it is lighter than my face! The first time I wore it was for a night out and let me tell you it lasted all night without settling into my lines. I ended up accidentally passing out with my face on and when I woke up I was shook when my make up was still SNATCHED! I got a tad oily in my t-zone but whoa even my highlight (trophy wife and Moscow mule) was sitting! New staple item for sure! It's so light too and doesn't transfer like crazy. Tip: apply one side at a time and don't swirl into the skin!! This stuff dries quick af and might streak on you if you swirl it .... pat it into to the skin instead.,1,25,351,100
20,patfdez,Brown,Brunette,Medium,Oily,Sensitivity,240,"Worked ok. Looks beautiful but purchased for lasting power, broke up on my oily skin after about six hours, after setting with powder and setting spray. (Texas dry heat)",1,1,14,80
21,alaska5000,Unknown,Unknown,Unknown,Unknown,Unknown,170,I absolutely LOVE this foundation. It's amazingly priced and you get a little bit more product than other standard foundations. The coverage is natural and amazing. Looks flawless and stunning. Buildable coverage. Beautiful formula. A this is a game changer. BUY IT!,1,1,14,100
22,TyraS,Brown,Black,Dark,Oily,Acne,430,"I LOVE this foundation! It’s exactly what the title says; lightweight, matte, longwear. Your color might look too light in the bottle and when you pump it on your face but it oxidizes to your PERFECT color so don’t go darker/lighter. I bought 430, it was perfect! It doesn’t feel heavy at all or greasy/oily. I could use this everyday! (I have oily skin large pores around nose/ acne prone skin)",1,30,408,100
23,Charmica,Brown,Black,Dark,Combination,Dark circles,470,This is the best foundation that I have ever worn. It's light and I rarely remember having it on because it looks so natural and feels awesome!,1,6,81,100
24,schowchow,Brown,Black,Olive,Combination,Acne,310,"It's so hard to find a shade for my south asian skin tone, but this shade is perfect, as well as for my excessively oily skin! Only thing is that it does oxidize, so go 1 or 2 shades above the swatch.",1,4,53,100
25,Rika2021,Brown,Black,Dark,Oily,Acne,430,"This has to be the BEST foundation I have ever used! I blotted once mid day and remained matte for the rest of the day. If you are super oily, I recommend using the blot powder over the primer, then apply foundation for a more matte look.",1,6,79,100
26,jess5984,Green,Brunette,Medium,Dry,Aging,260,"I was really skeptical about this foundation bc I have very dry skin and every time I wear a matte foundation it just makes my skin look so dull. But, one of my co workers was wearing this foundation one day and her skin looked flawless so I figured I would give it a shot. When I first applied this I didn't like it at all... I didn't like how it dried so fast and I didn't like how my skin felt... it felt dry and tight but I wore it through the day and I have to say Im really impressed. Usually by the end of the day my makeup looks worn out but the day I wore this my makeup looked the same as it did that morning! I have never had a foundation do that before. Im going to try mixing in some facial oil with the foundation just to see if it makes it more of a satin finish on my skin instead of so matte but either way Im keeping it! I hate touching up my makeup during the day and having my skin feel a little tight is worth not having to worry about touch ups during the day.",1,3,39,80
27,ComicsBae,Brown,Brunette,Dark,Normal,Sensitivity,390,"I absolutely LOVE LOVE LOVE! This foundation! First off it matches my skin PERFECTLY! It's not cakey, it's buildabke which is something I need because I have quite a bit of discoloration and hyperpigmentation. It's super light and it's so smooth! RIH CAME THROUGH! The shade range is absolutely amazing and I'm so happy that this launched. I can't wait to see where this brand goes in the future. I added a picture of me in the foundation. I'm also wearing the match sticks in Caramel, Toffee and A shimmer one in Confetti.",1,4,52,100
28,juliepea12,Brown,Brunette,Fair,Oily,Acne,150,I wanted to love this foundation because Of the hype but nope. It looked amazing when I applied it and after acouple of hours it turned orange... I felt super embarrassed having it on!,0,5,63,20
29,NaanaEsi,Brown,Black,Dark,Normal,Acne,470,"The only, crease-less, perfect coverage, transfer-resistant, long wear, perfectly matching, your-skin-but-better foundation ever. I picked up the very last shade in a sample and was genuinely shooketh'd that that it was too dark rather than too light; how refreshing! I picked up the correct shade and tested it from 8am to 10pm and literally forgot I was wearing it (i was wearing just the foundation, no other products) and almost didn't wash it off before bed; it's that lightweight! Thank you Fenty!",1,32,398,100
30,samx99,Brown,Black,Light,Oily,Acne,180,Really helped me look so amazing on a holiday couple days ago. (Eid) It’s affordable as well! I haven’t had any acne breakout as of yet. I got so many compliments for how I looked. I love this product.,1,5,60,100
31,Marianny24,Brown,Black,Light,Dry,Acne,250,Absolutely upset that this didn't work for me. I love Rihanna and I was super excited to use this. I will start with the pros 1. $34 I mean great price 2. Packaging is so elegant and it just feels expensive 3. The range of shades is phenomenal. When I walked into Sephora the same day it came out all of the warm shades were sold out. So glad a foundation line has become so diverse and inclusive of many more skin tones. The cons: unfortunately I have dry skin and this formula just did not work for me. It dries very quickly and made me look very patchy and cakes. I knew it was matte but I figured if I moisturized and primed well it would be fine but it wasn't. Another con is that it oxidizes so I was way darker than how I got matched at the store and it made my face look too orange. Getting this product people may want to try a shade or a few down. Still love Rihanna so sad this didn't work for me. Hopefully she will come out with something more Dewey for those of us that have dry skin.,0,14,164,60
32,AngelaRoman,Brown,Black,Olive,Oily,Acne,300,"Hands down one of the best foundations I have tried! I have an extremely oily T-zone and dark spots on my cheeks from acne, not only did this foundation cover it completely but it also didn't emphasize any texture I have!! I did try it in store before purchasing and got several samples to make sure I had the correct shade, after it oxidized. To me it's light weight and gives a medium to full coverage. It works well with all my other makeup too (concealer, setting powder, highlight, bronzer, blush, etc.)!",1,11,127,100
33,jaetrelle,Brown,Black,Dark,Oily,Unknown,430,I so love this foundation. It's full coverage and drives quickly. I put it on early morning and it lasts me all day with minimal touch ups. I also love that I don't have to mix foundation shade to get the perfect one for my skin tone. This is perfect for me.,1,2,23,100
34,skylernoel,Hazel,Black,Porcelain,Oily,Acne,100,"I honestly expected to love this foundation, but it ended up being the worst foundation I’ve used. I have oily skin and large pores, so I thought this would live up to the hype and make my skin look flawless. It creased horribly, emphasized my already large pores, and dried too quickly for my liking. The price is not bad, but in my experience, it’s not worth the $34.",0,2,23,20
35,kitosgift,Brown,Brunette,Deep,Combination,Cuticles,360,"Definitely not for me. The first time I went into Sephora, I was matched with 370. I received a sample, but didn't love it. I went back in to try again, and was told I was a match with 360. I have tan skin with warm undertones, so I was a bit surprised, but I went along with it. Everything seemed okay in store. I let it oxidize and whatnot while I looked at other products. When I checked in the mirror, everything seemed okay. I want to say that this was not the best lit Sephora, but that I was going off what I could see and what the Sephora employee who helped me could see. I would've used my selfie case with built in light to check it out, but I left it at home. I bought it anyway. I get home, I look in the mirror, and I look SUPER ashy! I tried a few more times to see how it would look, but each time I looked extremely ashy. I had to take it back. When I spoke to a different employee, she explained that Rihanna is extremely oily, and thus her foundation is made for those with similar skin. I wish I would've known that! There are other products in the line that I really like, but I just can't do the foundation.",0,3,33,20
36,tyoha,Brown,Brunette,Fair,Combination,Acne,230,"I really wanted to love this foundation but it is just not for me. It dried very matte to the point where my face seemed flat. I have combination skin and this foundation clinged to every dry spot, pores or fines lines. It was so dry I had a hard time applying powder blush and highlighter. But the real deal breaker was how bad it oxidized. It goes full on orange. I put it on and in less than an hour I can see a harsh line on my neck. The foundation dries in seconds so I know it’s not how the “final color” is supposed to be. It gets way too orange anyway. Before buying this foundation you should take a sample home and test it out a couple times to see if this is the foundation for you.",1,7,76,40
37,cgnicosia,Green,Blonde,Light,Oily,Acne,150,"Okay... attention oily skin babes!! This foundation has saved my life. I have oily skin and never have been able to find a foundation that not only fights against the oil, but stays put PERFECTLY all. day. long. I don't think I will ever buy another foundation again after using Fenti! The shade range is also a huge bonus!! It does oxidize a little bit, but just sample it before you commit to an entire bottle so that you get your shade just right. 10/10 WOULD RECOMMEND",1,7,76,100
38,Kaywood,Blue,Blonde,Fair,Oily,Acne,150,"I have really bad oily skin and I flush easily, so I have a lot of redness in my checks and this foundation is absolutely amazing! It is the best matte foundation for oily skin that I have tried and it covers my redness and lasts long. I chose this this foundation to wear on my wedding day because I loved it so much!",1,14,150,100
39,Fluffyhead,Brown,Brunette,Fair,Oily,Acne,150,"(The photo is freshly swiped on top of dried foundation) I bought this foundation, with primer, after receiving a sample. This foundation is a nice “medium” in multiple ways: a middle ground between sheer and full coverage, and a price point less than many upscale foundations (without being cheap). The coverage is matte with a bit of glow. It seems to enhance my pores, which may just be a quality of heavier coverage foundation — I’m admittedly more experienced in lighter ones like UD’s Naked. After application, my skin is smooth, like powdery smooth... a bit dry feeling, which is fine for me as an adult plagued with teenage (i.e. oily) skin. It does a great job of covering my dark and red spots without having to pile on concealer. My biggest complaints seems to echo other reports: the undertone is surprisingly yellow for a “neutral.” I usually buy “warm” foundation, so that this neutral is a bit too warm is unexpected. Secondly, the shade deepens noticably after it dries. What seemed like a perfect match on application is now a shade too dark and a hint too yellow. For context, I’m a pale white woman who is thirty-something (ok, 39.5). I have a warm yellow undertone but also a lot of pink in my cheeks. I love that Rihanna has made this foundation inclusive for all people, which makes me really want this foundation to work for me. I would recommend anyone purchasing this foundation go to a Sephora in person (if lucky to be near one) and try the samples in and around your shade, regardless of your previous labels. Give it ten minutes and then come back to the mirror. If you find the right match, you’ve found yourself a good foundation at a good price. Congratulations.",1,20,214,80
40,Taai,Brown,Blonde,Olive,Combination,Acne,370,I fly and travel a lot. This color looks good for hours. I didn't get any acne breakouts or irritation.,1,3,32,100
41,purpledrank,Brown,Black,Tan,Dry,Aging,300,"This is a high maintenance foundation. I have very dry skin, no acne, and usually poreless. So my preference for foundation is usually dewy, luminous, and hydrating. This foundation is meant for our oily-skin men and women. So if you have dry skin like me, don't turn away just yet! With a proper moisturizer and primer (I use ladykin cactus aqua cream and J.one Jelly pack as primer), this foundation will wear beautifully. It feels like skin. No tackiness. Matte all day. Does not crease or budge. No settling into pores or wrinkles. However, you must work quickly when applying. The Foundation will dry quickly and does NOT require powder to prime or set your makeup. The color is buildable from medium to full coverage. I recommend starting off in sections, blend, and then move on to the other of the face. The foundation does not oxidize but is like paint. The color is brighter when wet but will dry darker on the skin. This is easily remedied with a shade lighter foundation or concealer/contouring. Just get matched and buy it. You will not be disappointed.",1,13,137,100
42,gigipink27,Brown,Black,Ebony,Combination,Blackheads,450,Amazing!!! Matches perfectly,1,2,21,100
43,AlinaMara,Blue,Brunette,Light,Combination,Aging,180,"FULL DISCLOSURE: when I first tried this, I hated it! BUT I tried it a few times and realized I was doing it wrong! This is a post for all the ladies who don't usually use full coverage foundation or just hated the foundation after trying it out. OK so when I first tried this, all of my texture was visible. My face looked horrible, dry, and cakey/chalky. I couldn't figure out what they hype was... 'til I did the following: 1. Shake the bottle well. Like really really well. 2. Make sure you're priming and tapping in the primer to help shrink up your pores 3. Less is more. I put on way too much and it looked bad. Now I put on 2 pumps for my whole face (sometimes 3) The biggest key is definitely to use less. And focus on the middle of your face dragging out. So put all your dots of foundation on the middle of your face, none along the outside, then work them in (gently) and drag it out so the edges of your face have less foundation. You have to be gentle and take some extra time being nice to your face, but it's worth it. I figured this out when I watched the actual Fenty Beauty video where her makeup artist applies it to her face. That is how he explains to do it! I hope this helps some people! Because this foundation really truly does make you look airbrushed! Riri killed it!",1,336,513,100
44,kimmi82,Brown,Black,Deep,Dry,Dark circles,370,"I love this sooooo much!!! I’m not a big foundation person but this was divine on my skin. I first bought 400 (too dark) then 380(too dark) but in the photo i have on 370. I tried it on at the store...it was a hot mess. I tried again when i went home, primed properly and it was like butter. I have dry skin so moisturizer and primers are mandatory for me. I hope this isn’t a fad for RiRi or imma be hot.",1,8,83,80
45,itsVickyAlesia,Brown,Black,Deep,Dry,Aging,310,"I have combo - mostly dry skin. When I first used this, I did see the foundation becoming ""patchy"" on the dry areas. The product is so fluid and the coverage is amazing. Recommendation for dry skin - I'd highly recommend the Clinque Moisture Surge as a moisturizer followed by the Two Face Hangover Primer. This combo works great for my skin and lets the foundation do it's job properly. Recommendation for color selection - Highly recommended getting a shade lighter than your ColorID as this does oxidize. My ColorID is actually 2Y11. Fenty 310 is a shade lighter than what my ""true colour"" is but, it works out much better. As my ""true colour"" was much too yellow.",1,6,62,80
46,nattylouise87,Blue,Brunette,Fair,Dry,Acne,150,"I was hesitant to try this at first, due to all the reviews stating it wouldn't work for dry skin. I am so sick of either looking like a ghost or a peach, though, that when I found myself walking past a Sephora, I decided to give it a go. Firstly, if you are like me and prone to dry skin, especially over winter, you will want to make sure you moisturise first. If I don't moisturise regularly (and liberally before using this foundation), it does look terrible as it sets. However, this has actually encouraged me to keep on top of my skin care routine, and my skin is feeling less tight and dry as a result. So that's a good indirect result of this foundation. ;) As for the foundation itself, I am in love. My skin is fair and freckled, but the freckles on my forehead are light, so I really just look like I have splotchy skin, especially where they have converged into a mothership on my forehead. This foundation manages to even out my skin tone and, at the same time, let some of my freckles show through, so I still look like me. It sets quickly and feels like I haven't got any foundation on. The level of coverage is perfect for me and the scent is quite nice, too. It also hasn't irritated my sensitive skin. In terms of application, the salesperson at Sephora made sure I knew to do my face in parts, as this dries very quickly and becomes hard to blend. So I can't apply it exactly as I would my old make up but I also don't have to blend two products together to try to match my face - shade 150 is perfect for my ""summer tan."" All in all I'm very happy with this, I can only hope that they'll come out with the same shades in a version for drier skin types in the future.",1,6,62,80
47,TauM,Brown,Black,Ebony,Dry,Acne,490,"This is a dark skin woman’s dream. Thank you Rihanna. After years of looking like a ghost or looking orange, this is perfect. Light coverage and a little goes a long way.",1,7,72,100
48,bobtheboss,Brown,Black,Dark,Combination,Uneven skin tones,390,"It took me a while to find my match for this beautiful Rihanna sent foundation. I originally went in and was matched by Sephora as a 410. I thought the color was off but several employees insisted it was the perfect match. I went home and tried it on once again and had my doubts about it. I went to a different Sephora the next day to grab a few things and to return the wrong contour kit. I am an African American woman with a yellow undertone and warm complexion. The 410 just was waaay too ashy. The lady at the second sephora new this and apololgized for how the other sephora had matched me. She ended up recommending the 400 as my true foundation so I bought it and returned the 410. When i got home in my natural lighting and had seen the terrible orange tent it left on my face, I knew I was over Sephora matching black girls. Many times I have gone in there and they have no idea how to apply make up or recommend certain products that would work. However, I was determined to officially try this new brand that was support an amazing, dominating, and bossy a** woman like Rihanna. So I went in for the third day in a row and finally found the right match after a third lady finally helped me. I was skeptical with 390 after so many attempts to get the right color that I questioned it until I took a picture and seen how flawless my skin looked!! Ladies, Rihanna is giving you all types of matte and glow for DAYZZ! Phuck anyone who says ANYTHING differently, they mad af! lol. She did her thang! I have NEVER seen so many black women happy to try a new product or to FINALLY feel included. Not to mention the product is built for most of our skin types. It's waterproof, sweat proof, and hater proof! lol! Seriouly, the BEST foundation I have had to date! I am happy I waited to find the RIGHT color because it literally feels like you have nothing on. The primer is a MUST as it definitely helps to minimize pores. I am BEYOND happy she provided ample enough product for her fans!",1,82,834,80
49,swunny,Brown,Brunette,Tan,Dry,Acne,240,i wore this foundation yesterday and fell in love with it!!! about 6 hours in it looked like i had just applied it,1,3,30,100
50,xosonia21,Hazel,Blonde,Light,Combination,Blackheads,150,"Obsessed! I work a lot of 10-12 hours days and I run around a showroom, it lasts literally all day. The color does deepen a little bit after you put it on but it only takes 2-3 minutes to see the final result. I have an extensive make up collection and have tried x amount of foundations and I have to admit this is my new favorite! However, the finish is very matte which may not be everyone's cup of tea. Either way, amazing product!",1,1,10,100
51,TripleMoon,Brown,Black,Dark,Combination,Acne,390,"I have combination oily skin, I love this foundation. The color match is great and very lightweight. I blow my nose a lot and it’s nice to not to have the visible patch of missing foundation around my nose. It is long wearing and only need a touch up with the invisible blotting powder about once in my work day. I will continue to buy this, now a staple.",1,1,10,100
52,breeziie,Brown,Black,Olive,Combination,Acne,310,"Ok, so I have only used it once since I just got it but I have to admit I instantly fell in love with it. The shade range is ridiculous in the most amazing way! I have this huge issue where no matter what I do foundations do not match my neck but this one did! The coverage is very buildable and it doesn't feel like you have anything on. Another thing I noticed is usually with other foundations it separates on my nose when I start to sweat and this foundation did not do that. All in all I'm really happy with this purchase!!",1,1,10,100
53,mustardrebellio,Blue,Blonde,Light,Combination,Dullness,100,I have tried to make this foundation but I give up! My skin is combination and it accentuates my pores. If I moisturizer it makes a mess and doesn’t stay on the skin at all. This is the worse foundation I’ve ever tried.,0,1,10,40
54,anna2006,Brown,Brunette,Medium,Oily,Acne,190,"I honestly don’t understand how people make this work: I’ve tried with different brushes, beautyblender, and just no! It dries so fast that it won’t let you blend well. You can’t use more than one layer to build up coverage, because when you apply the second layer, the brush lifts and removes the first layer in patches, because that first layer has dried like a mask. Whatever you apply over it will do the same and lift the foundation off of your face, even if applied carefuly with fingers such as concealer or liquid highlighter. I use makeup every single day, and love it! But this, I just can’t!! Cakey, non buildable, hated it!!",0,9,88,20
55,Poveromo,Green,Blonde,Fair,Dry,Acne,130,"I do love this product, I really do. It’s lightweight, the color match is amazing and it stays all day. My only problem is that it makes me break out. I started noticing after about 2 weeks of wearing it that my acne situation had gotten much worse. I stopped using it, let my skin clear up and then started using it again to see if maybe it was a fluke. Nope, right back to zit city. This may be a problem that is unique to me and my skin just doesn’t agree with something in the formula, but I have a couple of co-workers who have complained of the same thing while using this product.",1,48,468,60
56,beautyguru244,Unknown,Unknown,Unknown,Unknown,Unknown,220,"Okay you guys, let me start off by saying I have tried literally every foundation, from cheap drugstore to expensive ysl. Literally anything, I've tried it. I bought this on a whim, I mainly went into Sephora to buy the trophy wife highlighter, but EVERYONE and i mean everyone and their momma's were trying to get their hands on this foundation. Shades were being sold out so quickly so I kind of gave in and figured I'd get it as well. The lady color matched me and the shade is pretty good for my skin (it was a tad bit light, but it's perfect since fall will be here and no more tan-ness). I have oily, acne prone, sensitive skin. Like I literally break out to anything. This foundation does not break me out. Now, let's talk application. This foundation is a thinner consistency (not thick at all like urban decay all nighter and not too thin like urban decay naked skin). It's a nice in between but more on the thin and runny side. 1 pump can cover one side of my face really well (you could get away with using 1 pump on your entire face, but I have lots of acne and scars to cover up). They were out of her foundation brush to use with it so I used the elf flap top powder brush and let me tell yall... the foundation looked so freaking good!!! It didn't look the least bit cakey, I had a high medium almost full coverage, literally covered EVERYTHING, and it looked like skin, looked smooth, and it was such a dream to blend it. You guys seriously need this. I also tried it with a beauty blender and I find it soaks up so much product so I'd stick with a brush. Also, I wore this for 16 hours today and literally still looked so good and I didn't look shiny at all. This is such a game changer. I used smash box photo finish primer and benefit porefessional primer underneath as well as the Mario badescu rose water. This foundation literally looks like it melts into your skin (in a good way). I'm ordering backups because this foundation is bomb dot come.",1,30,292,100
57,Eshaaaa524,Brown,Black,Dark,Normal,Acne,420,This foundation is perfect. I don't think I've ever found a foundation that matches so perfectly. I'm looking forward to using it on a night out to see how flawless it will leave my skin given that I barely use a pump for my everyday makeup and the coverage is already fantastic!,1,5,48,100
58,Jazzysinghh,Brown,Black,Deep,Combination,Acne,360,"when i first put it on, my face looked so yellow. but then it started to dry down and i added some power on top of it. i have acne scars it this foundation make it look like they weren’t there. i would recommend this 10/10 for people who are looking for a light weight foundation so your skin can breath and medium coverage. thank you rihanna, god bless you",1,4,38,100
59,micagola,Blue,Blonde,Porcelain,Normal,Acne,110,"Too matte. If u have normal skin it makes your pores stand out as never seen before. Tried with every primer, the best to use is a gel moisturizer. Looks great from a certain distance, but as soon as you get closer, all your imperfections will stand out",1,2,19,60
60,Citylifestevie,Unknown,Unknown,Unknown,Unknown,Unknown,430,"I sampled 420 and 430 and they both looked great on the only difference was the undertone. I'm a oily girl, I wore the foundation by itself without setting it with powder and it performed soooooo good! I suggest going in to your local Sephora and finding your match in store. I thought I would be along the line of 440 or 450 but they both were way to dark. I don't know what kind magic is in this foundation. I watched YouTube videos of people lighter in skin tone and darker in skin tone and both matched to the shade I got. Either way I'm so happy that us brown and dark skin beauty's FINALLYYYYYYYY have options!!!!!!",1,2,19,100
61,prettyricki,Brown,Black,Dark,Combination,Acne,400,I am oily and this product tames my oil control a little. It goes on smooth and give me natural looking coverage. It matches my skin perfectly and doesn't look cakey.,1,4,38,80
62,ccelestexo,Brown,Blonde,Medium,Combination,Aging,260,Great coverage but it does feel heavy on my face. I didn’t notice much oxidation but I did feel like I have cake face. Your skin definitely needs to be very moisturized for this foundation or it will draw attention to and rough patches.,1,3,28,80
